mean_power,max_power,min_power,median_power,p10_power,p25_power,p75_power,p90_power,power_delta,std_power,steady_state_w,active_mean_power,active_max_power,on_fraction,zero_fraction,high_power_fraction,very_high_power_fraction,transition_count,mean_abs_step,max_step_up,max_step_down,rise_time_s,duration_s,sample_interval_median_s,energy_kwh_est,mean_voltage,std_voltage,mean_current,max_current,is_cyclic,appliance_label
71.95983333333335,72.107,71.853,71.9375,71.889,71.92775,71.984,72.053,0.2540000000000049,0.07833776583204097,71.9305,71.95983333333335,72.107,1.0,0.0,0.0,0.0,0,0.11400000000000148,0.16800000000000637,0.18200000000000216,5.29106,27.6108,5.29106,0.0006576573346977779,236.19899999999998,0.13563799860904197,0.5233333333333333,0.524,0,fridge
71.93879999999999,71.999,71.853,71.936,71.8758,71.91,71.996,71.9978,0.1460000000000008,0.05494506347252677,71.999,71.93879999999999,71.999,1.0,0.0,0.0,0.0,0,0.08799999999999741,0.08599999999999852,0.1460000000000008,5.2857325,21.147691,5.2857325,0.0005282187454025,236.0656,0.09370720356515251,0.5236000000000001,0.524,0,fridge
71.9424,71.996,71.896,71.954,71.9016,71.91,71.956,71.98,0.09999999999999432,0.03576366871561014,71.996,71.9424,71.996,1.0,0.0,0.0,0.0,0,0.04649999999999821,0.08599999999999852,0.057999999999992724,5.2935275,21.16554,5.2935275,0.0005287582312513889,235.929,0.06537583651472889,0.5222000000000001,0.524,0,fridge
71.83216666666665,71.956,71.64,71.8495,71.69200000000001,71.75874999999999,71.9395,71.955,0.3160000000000025,0.11532911842009126,71.82,71.83216666666665,71.956,1.0,0.0,0.0,0.0,0,0.0867999999999995,0.0589999999999975,0.1629999999999967,0.0,26.365534,5.27136,0.0006312652190355556,235.92249999999999,0.06294905347448497,0.5208333333333334,0.522,0,fridge
71.73616666666668,71.803,71.64,71.73400000000001,71.6745,71.71275,71.78375,71.8,0.1629999999999967,0.055321534886715124,71.6745,71.73616666666668,71.803,1.0,0.0,0.0,0.0,0,0.07579999999999813,0.07299999999999329,0.1629999999999967,5.262861,26.334762,5.262861,0.0006296369834699999,236.0588333333333,0.12876647683134015,0.5208333333333334,0.522,0,fridge
71.709,71.797,71.632,71.7025,71.664,71.696,71.72025000000001,71.76050000000001,0.16499999999999204,0.04871002634639493,71.7465,71.709,71.797,1.0,0.0,0.0,0.0,0,0.06339999999999577,0.07299999999999329,0.10099999999999909,10.540166,26.353255,5.270083,0.000629910091961111,236.08466666666664,0.10349986580774921,0.5216666666666666,0.524,0,fridge
71.63766666666668,71.701,71.51,71.664,71.5505,71.60125,71.696,71.6985,0.1909999999999883,0.06991105460193833,71.6985,71.63766666666668,71.701,1.0,0.0,0.0,0.0,0,0.06479999999999393,0.06399999999999295,0.10999999999999943,15.810248999999999,26.352706,5.270083,0.0006292732163705556,235.88249999999996,0.1318506099088487,0.5218333333333334,0.524,0,fridge
71.6146,71.701,71.51,71.627,71.5424,71.591,71.644,71.6782,0.1909999999999883,0.06321582080460283,71.591,71.6146,71.701,1.0,0.0,0.0,0.0,0,0.08549999999999969,0.13400000000000034,0.10999999999999943,0.0,21.067919,5.265782,0.0005238548394069444,235.80900000000003,0.07166589146867616,0.5222,0.523,0,fridge
71.55280000000002,71.644,71.405,71.596,71.4398,71.492,71.627,71.6372,0.23900000000000432,0.0908083696583082,71.627,71.55280000000002,71.644,1.0,0.0,0.0,0.0,0,0.0815000000000019,0.0870000000000033,0.1910000000000025,0.0,21.088621,5.2681024999999995,0.0005238595185672223,235.9532,0.07607732908035081,0.5222,0.523,0,fridge
71.47283333333333,71.596,71.405,71.4625,71.412,71.42875,71.48575,71.54400000000001,0.1910000000000025,0.062304137547644245,71.4795,71.47283333333333,71.596,1.0,0.0,0.0,0.0,0,0.07020000000000266,0.0870000000000033,0.1910000000000025,0.0,26.331738,5.259629,0.000627200632903889,236.013,0.06492046415936167,0.5216666666666666,0.522,0,fridge
71.43183333333333,71.534,71.287,71.44200000000001,71.35300000000001,71.42075,71.46475,71.5005,0.2469999999999999,0.07476054366367849,71.4225,71.43183333333333,71.534,1.0,0.0,0.0,0.0,0,0.0882000000000005,0.2469999999999999,0.1389999999999958,26.328585000000004,26.309046,5.265717,0.0006265120809361112,236.06433333333337,0.07317938386063387,0.5216666666666666,0.523,0,fridge
71.39066666666666,71.534,71.287,71.384,71.3005,71.321,71.43725,71.48750000000001,0.2469999999999999,0.08496992932143248,71.48750000000001,71.39066666666666,71.534,1.0,0.0,0.0,0.0,0,0.12120000000000175,0.2469999999999999,0.1389999999999958,10.541126,26.3609,5.270563,0.0006272748671030556,236.14633333333336,0.07776817401025257,0.5203333333333333,0.523,0,fridge
71.3035,71.441,71.15,71.328,71.191,71.2525,71.342,71.39150000000001,0.2909999999999968,0.09188353134992754,71.328,71.3035,71.441,1.0,0.0,0.0,0.0,0,0.0858000000000004,0.08199999999999363,0.19199999999999307,0.0,26.370666,5.261486,0.0006265214928561111,236.2205,0.14057115635861941,0.5185000000000001,0.52,0,fridge
